sample_id,image_path,target_text,prediction,target_length,prediction_length,image_width,image_height,feature_width,ctc_T,required_T,temporal_margin,blank_percentage,nonblank_timesteps,prediction_target_ratio,CER,WER,exact_match,bucket
166,images/tamil_test_003787.jpg,சிக்கியிருக்கும்,சிச்,16,4,1400,326,34,34,16,18,88.23529481887817,4,0.25,0.8125,1.0,0,16+
167,images/tamil_test_002879.jpg,பிறப்பித்துள்ளனர்,பிற்்,17,5,1035,292,28,28,17,11,82.14285969734192,5,0.29411764705882354,0.7058823529411765,1.0,0,16+
168,images/tamil_test_002863.jpg,அர்ப்பணிப்புக்களும்,அறக்கொ்,19,7,1519,246,49,49,19,30,83.67346525192261,8,0.3684210526315789,0.7368421052631579,1.0,0,16+
169,images/tamil_test_001904.jpg,எடுத்துக்கொள்ளும்போது,எழுக்க்,21,7,2402,337,57,57,21,36,87.71929740905762,7,0.3333333333333333,0.7142857142857143,1.0,0,16+
170,images/tamil_test_001643.jpg,தருவதற்கில்லாமல்,தருவ்,16,5,1420,340,33,33,16,17,84.84848737716675,5,0.3125,0.6875,1.0,0,16+
171,images/tamil_test_000302.jpg,தொடர்புப்படுத்தியது,தொட்்,19,5,1441,296,38,38,19,19,86.84210777282715,5,0.2631578947368421,0.7368421052631579,1.0,0,16+
172,images/tamil_test_000199.jpg,இடம்பெற்றுள்ளார்,இடம்,16,4,820,294,22,22,16,6,81.81818723678589,4,0.25,0.75,1.0,0,16+
173,images/tamil_test_004284.jpg,முன்வரமாட்டார்கள்,முன்்,17,5,2145,321,53,53,17,36,90.56603908538818,5,0.29411764705882354,0.7058823529411765,1.0,0,16+
174,images/tamil_test_003770.jpg,உருட்டுகட்டையால்,உருணு்,16,6,1906,246,61,61,16,45,90.16392827033997,6,0.375,0.6875,1.0,0,16+
175,images/tamil_test_004533.jpg,வளர்த்துக்கொண்டு,வளர்த்தத்,16,9,1645,264,49,49,16,33,81.63264989852905,9,0.5625,0.5,1.0,0,16+
176,images/tamil_test_004795.jpg,மார்க்சியத்திற்கு,மார்க்்,17,7,1642,250,52,52,17,35,86.53846383094788,7,0.4117647058823529,0.5882352941176471,1.0,0,16+
177,images/tamil_test_003000.jpg,நடவடிக்கைகளிலும்,நட்்,16,4,2038,313,52,52,16,36,92.30769872665405,4,0.25,0.75,1.0,0,16+
178,images/tamil_test_004353.jpg,அர்ப்பணிப்புக்களும்,அறக்கொ்,19,7,1544,315,39,39,19,20,82.05128312110901,7,0.3684210526315789,0.7368421052631579,1.0,0,16+
179,images/tamil_test_003989.jpg,தேர்ந்தெடுத்தாள்,தேதற்்்,16,7,1815,258,56,56,16,40,87.50000596046448,7,0.4375,0.6875,1.0,0,16+
180,images/tamil_test_001639.jpg,நடவடிக்கைகளிலும்,நடவடக்,16,6,2026,245,66,66,16,50,90.90909361839294,6,0.375,0.625,1.0,0,16+
181,images/tamil_test_000489.jpg,ஆடிக்கொண்டிருந்த,ஆடி்,16,4,1480,297,39,39,16,23,89.74359035491943,4,0.25,0.75,1.0,0,16+
182,images/tamil_test_004757.jpg,அலட்டிக்கொள்ளாமல்,அல்,18,3,1087,304,28,28,18,10,89.28571939468384,3,0.16666666666666666,0.8333333333333334,1.0,0,16+
183,images/tamil_test_003157.jpg,தருவதற்கில்லாமல்,ஐூர்ந்,16,6,1444,404,28,28,16,12,78.5714328289032,6,0.375,0.875,1.0,0,16+
184,images/tamil_test_003253.jpg,உச்சநீதிமன்றத்தின்,உச்ச்,18,5,1540,297,41,41,18,23,87.80487775802612,5,0.2777777777777778,0.7222222222222222,1.0,0,16+
185,images/tamil_test_002691.jpg,உச்சநீதிமன்றத்தின்,உப்ச்,18,5,1535,292,42,42,18,24,88.09524178504944,5,0.2777777777777778,0.7777777777777778,1.0,0,16+
186,images/tamil_test_004770.jpg,பயன்படுத்தப்பட்டன,பயன்படுத்்,17,10,2699,253,85,85,17,68,88.23529481887817,10,0.5882352941176471,0.4117647058823529,1.0,0,16+
187,images/tamil_test_004478.jpg,வெளிப்படுத்திவிடும்,வெளிப்ர்்,19,9,2924,250,93,93,19,74,90.32257795333862,9,0.47368421052631576,0.5789473684210527,1.0,0,16+
188,images/tamil_test_003761.jpg,தீபாவளித்திருநாளுக்கு,தீப்ற,21,5,1259,298,33,33,21,12,84.84848737716675,5,0.23809523809523808,0.8095238095238095,1.0,0,16+
189,images/tamil_test_004855.jpg,கொண்டிருக்கிறேன்,கொண்ட்,16,6,1832,377,38,38,16,22,84.21052694320679,6,0.375,0.625,1.0,0,16+
190,images/tamil_test_003621.jpg,தருவதற்கில்லாமல்,தருவ்,16,5,1433,332,34,34,16,18,85.29411554336548,5,0.3125,0.6875,1.0,0,16+
191,images/tamil_test_004170.jpg,படைத்தரப்பினரால்,ப்டைக்்,16,7,1649,254,51,51,16,35,86.27451062202454,7,0.4375,0.75,1.0,0,16+
192,images/tamil_test_003845.jpg,தீபாவளித்திருநாளுக்கு,தீப்பற்,21,7,1250,295,33,33,21,12,78.78788113594055,7,0.3333333333333333,0.7619047619047619,1.0,0,16+
193,images/tamil_test_000680.jpg,தொடங்கிவிட்டார்கள்,தொடங்கு்,18,8,1783,250,57,57,18,39,85.9649121761322,8,0.4444444444444444,0.6111111111111112,1.0,0,16+
194,images/tamil_test_001568.jpg,மிரட்டுகிறீர்கள்,பிரண்்,16,6,1204,294,32,32,16,16,81.25,6,0.375,0.75,1.0,0,16+
195,images/tamil_test_001962.jpg,தொடங்கிவிட்டார்கள்,தொடங்கு்,18,8,1774,253,56,56,18,38,83.92857313156128,9,0.4444444444444444,0.6111111111111112,1.0,0,16+
196,images/tamil_test_000656.jpg,பாரம்பரியத்துக்கு,ப்ர,17,3,1486,299,39,39,17,22,92.30769276618958,3,0.17647058823529413,0.8235294117647058,1.0,0,16+
197,images/tamil_test_004849.jpg,நூற்றுக்கணக்கானவர்களை,நூல்,21,4,913,295,24,24,21,3,83.33333730697632,4,0.19047619047619047,0.8571428571428571,1.0,0,16+
198,images/tamil_test_001692.jpg,கட்டணத்திலும்கூட,கட்ட்க்,16,7,1482,252,47,47,16,31,85.10637879371643,7,0.4375,0.625,1.0,0,16+
199,images/tamil_test_004570.jpg,இத்திட்டத்திற்கான,இத்தி்,17,6,1607,246,52,52,17,35,88.4615421295166,6,0.35294117647058826,0.6470588235294118,1.0,0,16+
